2MASS J19383260+4603591 b,2MASS J19383260+4603591,0.33,591.16084,0.48,
47 UMa b,47 UMa,0.032,804.08,1.06,2.1
47 UMa c,47 UMa,0.098,171.621,1.06,3.6
47 UMa d,47 UMa,0.16,521.22,1.06,11.6
55 Cnc b,55 Cnc,0,255.4,0.91,0.1134
55 Cnc c,55 Cnc,0.03,51.2,0.91,0.2373
55 Cnc d,55 Cnc,0.13,991.6,0.91,5.957
55 Cnc e,55 Cnc,0.05,7.99,0.91,0.01544
55 Cnc f,55 Cnc,0.08,47.8,0.91,0.7708
61 Vir b,61 Vir,0.12,5.1,0.94,0.050201
61 Vir c,61 Vir,0.14,18.2,0.94,0.2175
61 Vir d,61 Vir,0.35,22.9,0.94,0.476
AU Mic b,AU Mic,0.186,20.12,0.5,0.0645
AU Mic c,AU Mic,,9.6,0.5,0.1101
AU Mic d,AU Mic,0.00305,1.053,0.51,
CoRoT-7 b,CoRoT-7,0,4.07661,0.82,
CoRoT-7 c,CoRoT-7,0,8.4,0.9,0.046
CoRoT-7 d,CoRoT-7,,17.142,0.92,
DMPP-1 b,DMPP-1,0.083,24.27,1.21,0.1462
DMPP-1 c,DMPP-1,0.057,9.6,1.21,0.0733
DMPP-1 d,DMPP-1,0.07,3.35,1.21,0.0422
DMPP-1 e,DMPP-1,0.07,4.13,1.21,0.0651
EPIC 201754305 d,K2-16,,,0.67,
EPIC 206024342 b,EPIC 206024342,,,0.93,
EPIC 206024342 c,EPIC 206024342,,,,
EPIC 206024342 d,EPIC 206024342,,,,
EPIC 249893012 b,EPIC 249893012,0.06,8.75,1.05,0.047
EPIC 249893012 c,EPIC 249893012,0.07,14.67,1.05,0.13
EPIC 249893012 d,EPIC 249893012,0.15,10.18,1.05,0.22
GJ 1061 b,GJ 1061,0.31,1.37,0.12,0.021
GJ 1061 c,GJ 1061,0.29,1.74,0.12,0.035
GJ 1061 d,GJ 1061,0.53,1.64,0.12,0.054
GJ 163 b,GJ 163,0.073,10.6,,0.0607
GJ 163 c,GJ 163,0.099,6.8,,0.1254
GJ 163 d,GJ 163,0.373,29.4,,1.0304
GJ 180 b,GJ 180,0.07,6.49,0.43,0.092
GJ 180 c,GJ 180,0.09,6.4,0.43,0.129
GJ 180 d,GJ 180,0.14,7.56,0.43,0.309
GJ 3138 b,GJ 3138,0.19,1.78,0.68,0.0197
GJ 3138 c,GJ 3138,0.11,4.18,0.68,0.057
GJ 3138 d,GJ 3138,0.32,10.5,0.68,0.698
GJ 3293 b,GJ 3293,0.06,23.54,0.42,0.14339
GJ 3293 c,GJ 3293,0.11,21.09,0.42,0.36175
GJ 3293 d,GJ 3293,0.12,7.6,0.42,0.19394
GJ 3293 e,GJ 3293,0.21,3.28,0.42,0.08208
GJ 357 b,GJ 357,,,0.34,0.036
GJ 357 c,GJ 357,,3.4,0.34,0.061
GJ 357 d,GJ 357,,6.1,0.34,0.204
GJ 367 b,GJ 367,0.06,0.633,0.46,0.00709
GJ 367 c,GJ 367,0.09,4.13,0.46,
GJ 367 d,GJ 367,0.14,6.03,0.46,
GJ 433 b,GJ 433,0.04,6.043,0.48,0.062
GJ 433 c,GJ 433,0.12,32.422,0.48,4.819
GJ 433 d,GJ 433,0.07,5.223,0.48,0.178
GJ 581 b,GJ 581,0,15.8,0.31,0.04061
GJ 581 c,GJ 581,0,5.5,0.31,0.0721
GJ 581 e,GJ 581,0,1.7,0.31,0.02815
GJ 667 C b,GJ 667 C,0.2,,,
GJ 667 C c,GJ 667 C,0.02,3.8,0.33,0.125
GJ 667 C e,GJ 667 C,0.02,2.7,0.33,0.213
GJ 667 C f,GJ 667 C,0.03,2.7,0.33,0.156
GJ 667 C g,GJ 667 C,0.08,4.6,0.33,0.549
GJ 676 A b,GJ 676 A,0.319,1840.86213,0.63,1.735
GJ 676 A c,GJ 676 A,0.295,4288.14087,0.63,9.726
GJ 676 A d,GJ 676 A,0.192,3.81394,0.63,0.039
GJ 676 A e,GJ 676 A,0.152,6.6744,0.63,0.181
GJ 876 b,GJ 876,0.0324,723.2235,0.32,0.208317
GJ 876 c,GJ 876,0.25591,226.9846,0.32,0.12959
GJ 876 d,GJ 876,0.207,6.83,0.32,0.020807
GJ 876 e,GJ 876,0.055,14.6,0.32,0.3343
GJ 9827 b,GJ 9827,0.063,5.14,0.61,0.0188
GJ 9827 c,GJ 9827,0.094,1.3,0.61,0.03925
GJ 9827 d,GJ 9827,0.13,3.53,0.61,0.0559
HD 10180 c,HD 10180,0.073,13.22173,1.06,0.06412
HD 10180 d,HD 10180,0.131,12.01397,1.06,0.12859
HD 10180 e,HD 10180,0.051,25.58532,1.06,0.2699
HD 10180 f,HD 10180,0.119,22.94733,1.06,0.4929
HD 10180 g,HD 10180,0.263,23.26516,1.06,1.427
HD 10180 h,HD 10180,0.095,65.66368,1.06,3.381
HD 108236 b,HD 108236,0.045,,0.87,0.04527
HD 108236 c,HD 108236,0.034,,0.87,0.062
HD 108236 d,HD 108236,0.055,,0.87,0.1074
HD 108236 e,HD 108236,0.058,,0.87,0.1367
HD 108236 f,HD 108236,0.051,,0.87,0.1758
HD 110067 b,HD 110067,,5.69,0.8,0.0793
HD 110067 c,HD 110067,,6.3,0.8,0.1039
HD 110067 d,HD 110067,,8.52,0.8,0.1362
HD 110067 e,HD 110067,,3.9,0.8,0.1785
HD 110067 f,HD 110067,,5.04,0.8,0.2163
HD 110067 g,HD 110067,,8.4,0.8,0.2621
HD 11506 b,HD 11506,0.391,1551.00263,1.12,2.8
HD 11506 c,HD 11506,0.233,117.27868,1.12,0.75
HD 11506 d,HD 11506,0.061,2346.52713,1.12,12.235
HD 125612 b,HD 125612,0.446,945.22168,1.05,1.349
HD 125612 c,HD 125612,0.149,15.57359,1.05,0.051
HD 125612 d,HD 125612,0.115,2281.37231,1.05,3.982
HD 133131 A b,HD 133131 A,0.33,451.3186,0.95,1.44
HD 133131 A c,HD 133131 A,0.49,133.4886,0.95,4.49
HD 133131 B b,HD 133131 B,0.61,794.575,0.93,6.15
HD 136352 b,HD 136352,0,4.72,0.87,0.0964
HD 136352 c,HD 136352,0,11.24,0.87,0.1721
HD 136352 d,HD 136352,0,8.82,0.87,0.425
HD 141399 b,HD 141399,0.04,143.34133,1.07,0.415
